MH,ggh_t_frac,ggh_b_frac,ggh_i_frac
60.0,1.0369435105,0.0716177053688,-0.108561215867
80.0,1.07662494393,0.0329748090427,-0.109599752972
95.0,1.08216597195,0.02010229508,-0.102268267028
100.0,1.08077879919,0.0172390512761,-0.0980178504622
120.0,1.07414877197,0.00986605110658,-0.0840148230729
125.0,1.07110917192,0.00871390005156,-0.0798230719672
130.0,1.06958698242,0.00769620526867,-0.0772831876868
140.0,1.06492917627,0.00610422447614,-0.0710334007435
160.0,1.05663517668,0.00395579652104,-0.0605909732047
180.0,1.04969032072,0.00268297552875,-0.052373296253
200.0,1.04353705893,0.00187368447198,-0.0454107434044
250.0,1.03158894405,0.000831896410077,-0.0324208404634
300.0,1.02287638141,0.0003908286779,-0.0232672100885
350.0,1.01489548068,0.000157604627764,-0.0150530853046
400.0,1.00669459486,7.99207127473e-05,-0.00677451557092
450.0,1.00268135506,5.6819293872e-05,-0.00273817435566
500.0,1.00029551066,4.54780750419e-05,-0.000340988733238
600.0,0.99566993536,3.40402142734e-05,0.00429602442606
700.0,0.99621155507,2.81878943619e-05,0.00376025703554
800.0,0.995514199471,2.45216661326e-05,0.00446127886279
900.0,0.995049372077,2.1998332552e-05,0.00492862959041
1000.0,0.99475071784,2.01277550569e-05,0.0052291544053
1200.0,0.994430216616,1.75244094289e-05,0.00555225897494
1400.0,0.994290818889,1.57167419494e-05,0.00569346436907
1600.0,0.994244037104,1.44439394492e-05,0.005741518957
1800.0,0.994239433434,1.34255399717e-05,0.00574714102618
2000.0,0.994257473839,1.26470163346e-05,0.00572987914491
2300.0,0.994306929731,1.16914977782e-05,0.00568137877162
2600.0,0.99436677433,1.09612090318e-05,0.00562226446082
2900.0,0.994432095256,1.03706637009e-05,0.0055575340803
3200.0,0.994495150229,9.87932882427e-06,0.00549497044248
3500.0,0.994554148958,9.46320288756e-06,0.00543638783912
